"","user_group","date","instance_count","instance_perc","user_sum","user_perc","post_sum","post_perc","post_ratio","instance_diff","user_diff","post_diff","post_ratio_diff"
"879","10-100",2023-04-08,1956,0.157057973341898,63575,0.00887012284509731,29224263,0.0457986165319043,459.681683051514,2,-152,-275305,-3.22364749911605
"880","100-1000",2023-04-08,683,0.0548418178898346,225215,0.0314224886599857,75425257,0.118202208287112,334.903345691894,2,564,459566,1.20489342593521
"881","1000-10000",2023-04-08,322,0.0258551469407419,1003352,0.139989862318114,193405127,0.303093605706233,192.758998835902,1,4440,180652,-0.675933370338328
"882","10000+",2023-04-08,95,0.00762807130239281,5848343,0.815973587892488,327015664,0.512480502774769,55.9159515780795,0,5025,358124,0.0132024892912099
"883","0-1",2023-04-09,3460,0.277021617293835,3428,0.000477586987565741,2845402,0.00445664708594447,830.047257876313,7,8,5835,-0.235490661698918
"884","1-10",2023-04-09,5966,0.477662129703763,23488,0.00327233464525792,10212783,0.0159959013159945,434.808540531335,21,74,19041,-0.560981976566097
"885","10-100",2023-04-09,1962,0.157085668534828,63692,0.00887353279230957,29222888,0.0457707201471292,458.815675438046,6,117,-1375,-0.866007613468355
"886","100-1000",2023-04-09,685,0.0548438751000801,226173,0.0315102922224931,75614264,0.118431803067347,334.320471497482,2,958,189007,-0.582874194412398
"887","1000-10000",2023-04-09,322,0.0257806244995997,1002140,0.139617568179443,193357564,0.302848744798071,192.944662422416,0,-1212,-47563,0.185663586513982
"888","10000+",2023-04-09,95,0.00760608486789432,5858829,0.81624868517293,327209590,0.512496183585513,55.8489742574839,0,10486,193926,-0.0669773205955906
"889","0-1",2023-04-10,3453,0.276416906820365,3423,0.000476685909106038,2846092,0.0044555798403421,831.461291264972,-7,-5,690,1.4140333886595
"890","1-10",2023-04-10,5972,0.478065962215818,23502,0.00327288116734154,10245082,0.0160387579958244,435.923836269254,6,14,32299,1.11529573791853
"891","10-100",2023-04-10,1967,0.157460774895933,63879,0.00889576955529786,29311085,0.0458867385258642,458.853222498787,5,187,88197,0.037547060741133
"892","100-1000",2023-04-10,682,0.0545949407620877,224753,0.0312990324654716,75625699,0.118392638001927,336.483601998639,-3,-1420,11435,2.1631305011565
"893","1000-10000",2023-04-10,323,0.0258565481908421,1003423,0.139736373056648,193396125,0.302763183955502,192.736388342703,1,1283,38561,-0.208274079713107
"894","10000+",2023-04-10,95,0.00760486711495357,5861849,0.816319257846134,327346201,0.512463101680541,55.843506204271,0,3020,136611,-0.00546805321283017
"895","0-1",2023-04-11,3457,0.276692812550024,3424,0.000478367292195236,2853429,0.00446345207132902,833.361273364486,4,1,7337,1.89998209951375
"896","1-10",2023-04-11,5973,0.478069473347207,23520,0.00328598093236915,10284911,0.0160880846540722,437.283630952381,1,18,39829,1.35979468312729
"897","10-100",2023-04-11,1965,0.157275492236273,63935,0.00893236355914207,29357505,0.0459222277832398,459.177367639008,-2,56,46420,0.324145140221617
"898","100-1000",2023-04-11,680,0.0544261245397791,224659,0.0313871254372925,75687005,0.118392754555989,336.897275426313,-2,-94,61306,0.413673427674269
"899","1000-10000",2023-04-11,324,0.0259324475748359,1005577,0.140489236735926,193460781,0.302619383091495,192.387834049506,1,2154,64656,-0.348554293197026
"900","10000+",2023-04-11,95,0.0076036497518809,5836565,0.815426926043075,327643843,0.512514097843875,56.1364163681892,0,-25284,297642,0.292910163918123
"901","0-1",2023-04-12,3442,0.275801282051282,3410,0.000475996647643551,2855308,0.00446137569772452,837.333724340176,-15,-14,1879,3.97245097568998
"902","1-10",2023-04-12,5969,0.478285256410256,23486,0.00327837456497257,10343428,0.0161614502920047,440.40824320872,-4,-34,58517,3.12461225633911
"903","10-100",2023-04-12,1969,0.157772435897436,64350,0.00898251738295089,29519063,0.0461230908496733,458.726697746698,4,415,161558,-0.4506698923106
"904","100-1000",2023-04-12,681,0.0545673076923077,225197,0.031434902363456,75789061,0.118419265066592,336.545606735436,1,538,102056,-0.351668690876693
"905","1000-10000",2023-04-12,324,0.0259615384615385,1006037,0.140431155250843,193529536,0.302386981965624,192.368209121533,0,460,68755,-0.0196249279725862
"906","10000+",2023-04-12,95,0.00761217948717949,5841436,0.815397053790134,327969780,0.512447836128381,56.1454032878217,0,4871,325937,0.00898691963252674
"907","0-1",2023-04-13,3447,0.275782062565005,3413,0.000475735469891576,2872052,0.00448209454998282,841.503662467038,5,3,16744,4.16993812686178
"908","1-10",2023-04-13,5979,0.478358268661493,23520,0.00327843488187807,10348170,0.0161492467264854,439.973214285714,10,34,4742,-0.435028923005802
"909","10-100",2023-04-13,1974,0.157932634610769,64433,0.00898126678333546,29584958,0.046169978472977,459.158474694644,5,83,65895,0.431776947946275
"910","100-1000",2023-04-13,679,0.0543243459476758,224860,0.0313430640960503,75859837,0.118386074479252,337.36474695366,-2,-337,70776,0.819140218223993
"911","1000-10000",2023-04-13,324,0.0259220737659013,1000417,0.139447363487407,193706188,0.302295867043058,193.625446188939,0,-5620,176652,1.2572370674059
"912","10000+",2023-04-13,96,0.00768061444915593,5857512,0.816474135281437,328412243,0.512516738728245,56.0668493722249,1,16076,442463,-0.0785539155967641
"913","0-1",2023-04-14,3433,0.274552143314139,3402,0.000474341499108762,2849061,0.00444188222221197,837.466490299824,-14,-11,-22991,-4.03717216721418
"914","1-10",2023-04-14,6000,0.479846449136276,23597,0.00329013414299514,10408440,0.0162274744545519,441.091664194601,21,77,60270,1.1184499088867
"915","10-100",2023-04-14,1972,0.157709532949456,64406,0.00898014067948235,29610748,0.0461651944720028,459.751389622085,-2,-27,25790,0.592914927440859
"916","100-1000",2023-04-14,679,0.0543026231605886,224203,0.0312606664093715,75932254,0.11838361099853,338.67635134231,0,-657,72417,1.31160438865027
"917","1000-10000",2023-04-14,324,0.0259117082533589,993564,0.138532815173574,193815700,0.302172018154602,195.071178102266,0,-6853,109512,1.44573191332697
"918","10000+",2023-04-14,96,0.00767754318618042,5862876,0.817461902095468,328792294,0.512609819698101,56.0803765933306,0,5364,380051,0.0135272211057185
"919","0-1",2023-04-15,3426,0.274387313791446,3395,0.000472952942644948,2875061,0.00447795006281403,846.851546391753,-7,-7,26000,9.38505609192896
"920","1-10",2023-04-15,5995,0.480137754284799,23583,0.00328531642014604,10423360,0.0162345374817206,441.98617648306,-5,-14,14920,0.894512288458827
"921","10-100",2023-04-15,1965,0.157376261412782,64309,0.00895880141047245,29620735,0.0461347331948253,460.600149279261,-7,-97,9987,0.848759657176174
"922","100-1000",2023-04-15,678,0.0543008169149447,222536,0.0310011947111741,75857593,0.118149323906265,340.877848977244,-1,-1667,-74661,2.20149763493379
"923","1000-10000",2023-04-15,326,0.0261092423514336,995967,0.138746840479311,194079823,0.302282197001658,194.86571643438,2,2403,264123,-0.205461667886311
"924","10000+",2023-04-15,96,0.00768861124459395,5868514,0.817534894036251,329191901,0.512721258352716,56.0945924300428,0,5638,399607,0.0142158367121183
"925","0-1",2023-04-16,3432,0.274867851994234,3402,0.000473801902338314,2871832,0.00446957738266647,844.159905937684,6,7,-3229,-2.69164045406887
"926","1-10",2023-04-16,5990,0.479737305782476,23588,0.00328513794013996,10449885,0.0162636845217497,443.017000169578,-5,5,26525,1.03082368651792
"927","10-100",2023-04-16,1968,0.157616530514176,64351,0.00896226520204963,29655847,0.046154894511593,460.845161691349,3,42,35112,0.245012412087931
"928","100-1000",2023-04-16,675,0.0540605478135512,222207,0.0309471191395913,75897117,0.118122521635246,341.560423389002,-3,-329,39524,0.682574411758026
"929","1000-10000",2023-04-16,325,0.0260291526509691,993472,0.138362411381496,194120149,0.302119005391069,195.395692077884,-1,-2495,40326,0.529975643504571
"930","10000+",2023-04-16,96,0.00768861124459395,5873196,0.817969264434385,329533927,0.512870316557676,56.1081099626166,0,4682,342026,0.013517532573843
"931","0-1",2023-04-17,3436,0.275298453649547,3405,0.000490544873618785,2885842,0.00452302431862249,847.530690161527,4,3,14010,3.37078422384354
